x_factor,-1,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,
y_factor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,
SUBPLATE_name,SUBPLATE_number,,,x,y,r,x,y,r,x,y,r,x,y,r,,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4,8,,,102.29063,223.72444,246,100.21161,219.17732,241.00013,99.37992,217.3583,239,98.54829,215.5394,237,,223.72444,-102.29063,246,219.17732,-100.21161,241.00013,217.3583,-99.37992,239,215.5394,-98.54829,237,,
H5,1,,,242.2653,42.70273,246,237.34134,41.83481,241.00013,235.37157,41.48761,239,233.40194,41.14043,237,,42.70273,-242.2653,246,41.83481,-237.34134,241.00013,41.48761,-235.37157,239,41.14043,-233.40194,237,,
H5,2,,,244.03933,30.99687,246,239.07931,30.36687,241.00013,237.09512,30.11485,239,235.11106,29.86284,237,,30.99687,-244.03933,246,30.36687,-239.07931,241.00013,30.11485,-237.09512,239,29.86284,-235.11106,237,,
H5,3,,,245.24808,19.21922,246,240.26349,18.8286,241.00013,238.26948,18.67234,239,236.27559,18.51608,237,,19.21922,-245.24808,246,18.8286,-240.26349,241.00013,18.67234,-238.26948,239,18.51608,-236.27559,237,,
H5,4,,,245.88876,7.39704,246,240.89115,7.2467,241.00013,238.89193,7.18656,239,236.89283,7.12642,237,,7.39704,-245.88876,246,7.2467,-240.89115,241.00013,7.18656,-238.89193,239,7.12642,-236.89283,237,,
H5,5,,,245.95989,-4.44226,246,240.96083,-4.35197,241.00013,238.96103,-4.31585,239,236.96136,-4.27974,237,,-4.44226,-245.95989,246,-4.35197,-240.96083,241.00013,-4.31585,-238.96103,239,-4.27974,-236.96136,237,,
H5,6,,,245.46129,-16.27128,246,240.47237,-15.94057,241.00013,238.47662,-15.80827,239,236.481,-15.67599,237,,-16.27128,-245.46129,246,-15.94057,-240.47237,241.00013,-15.80827,-238.47662,239,-15.67599,-236.481,237,,
H5,7,,,244.39413,-28.0626,246,239.4269,-27.49224,241.00013,237.43982,-27.26407,239,235.45288,-27.03592,237,,-28.0626,-244.39413,246,-27.49224,-239.4269,241.00013,-27.26407,-237.43982,239,-27.03592,-235.45288,237,,
H5,8,,,242.76111,-39.78746,246,237.82707,-38.97879,241.00013,235.85328,-38.65529,239,233.87961,-38.33182,237,,-39.78746,-242.76111,246,-38.97879,-237.82707,241.00013,-38.65529,-235.85328,239,-38.33182,-233.87961,237,,
H6,1,,,238.67593,-59.5802,246,233.82492,-58.36925,241.00013,231.88434,-57.88483,239,229.94388,-57.40043,237,,-59.5802,-238.67593,246,-58.36925,-233.82492,241.00013,-57.88483,-231.88434,239,-57.40043,-229.94388,237,,
H6,2,,,235.53286,-70.99489,246,230.74573,-69.55194,241.00013,228.8307,-68.97471,239,226.9158,-68.39751,237,,-70.99489,-235.53286,246,-69.55194,-230.74573,241.00013,-68.97471,-228.8307,239,-68.39751,-226.9158,237,,
H6,3,,,231.84421,-82.24515,246,227.13205,-80.57354,241.00013,225.24701,-79.90484,239,223.3621,-79.23618,237,,-82.24515,-231.84421,246,-80.57354,-227.13205,241.00013,-79.90484,-225.24701,239,-79.23618,-223.3621,237,,
H6,4,,,227.61853,-93.30489,246,222.99226,-91.4085,241.00013,221.14158,-90.64987,239,219.29103,-89.8913,237,,-93.30489,-227.61853,246,-91.4085,-222.99226,241.00013,-90.64987,-221.14158,239,-89.8913,-219.29103,237,,
H6,5,,,222.86563,-104.1485,246,218.33596,-102.03172,241.00013,216.52393,-101.18493,239,214.71201,-100.33819,237,,-104.1485,-222.86563,246,-102.03172,-218.33596,241.00013,-101.18493,-216.52393,239,-100.33819,-214.71201,237,,
